,Redshift_mid,pz
0,0.05,0.026549899942541262
1,0.15000000000000002,0.12799429375284818
2,0.25,0.09807612292207403
3,0.35000000000000003,0.06043074240653049
4,0.45,0.039824849913811904
5,0.55,0.035465911117275234
6,0.6500000000000001,0.12343722137465082
7,0.75,0.6540389530621546
8,0.8500000000000001,1.4544986229716077
9,0.95,1.7709179528838346
10,1.05,1.3599889045194258
11,1.1500000000000001,1.1244080759247874
12,1.25,1.0637791999365986
13,1.35,0.8662400190208231
14,1.4500000000000002,0.7198193021735264
15,1.55,0.47452992807750943
